stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Goblet_cell,Granulocyte,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell
24hpf,2,6,57,0,0,0,1,0,0,0,1,6,6,11,2,5,833,1,0,1,0,0,0,1
72hpf,0.56,0.56,4.79,0.56,0,0,0,0,0,0,0.85,34.95,0,2.54,0,44.81,18.32,0,0.28,1.97,0.28,0,15.78,0
21Day,0.37,0,2.59,0.74,0.74,0,0,0,0,0.74,0,1.11,0,1.11,0,5.92,8.14,0.37,0,0.37,0.37,0,1.85,0.37
3Month,0,0,1.14,0,0.1,0.1,0,0.1,0.1,0,0,0.42,0,0,0,0,0.1,0,0,0,0,0.1,0.1,0
22Month,0,0,0.14,0,0,0,0,0.14,0.14,0,0,0,0,0,0,0,0,0.14,0,0,0,0,0,0
