stage,Cardiomyocyte,Epithelial_cell,Erythrocyte,Granulocyte,Hepatocyte,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Primordial_germ_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,1,0,0,0
72hpf,0,0,0,0,0,0,0.56,0,0,0.28,0.28,0,0,0
21Day,0.37,0.74,0.37,0,0,0.37,2.59,0,0.37,0,0,0.37,0,0
3Month,0,2.81,0,0.1,0.42,0.1,0.31,0.21,0.1,0,0,0.1,2.5,0.1
