stage,Endothelial_cell,Enterocyte,Epithelial_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Primordial_germ_cell,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0.85,0.85,0,0.28,0,0,0,0,0
21Day,0,0,5.55,0,0,0,0,0,0,0,0,1.11,0,0.74,0,1.85,0.37,0,0,0,0,0,0,0,0
3Month,0.1,0.1,0.94,1.46,0.1,0,0.31,0,0,0.83,0,0.1,0.21,0.1,0,0,0,0,0.62,0,0.31,0,0,0.1,0.21
22Month,0.55,0.27,4.37,0.27,0.68,0.41,8.75,0.14,0.14,2.05,0,0.41,0.14,0.41,1.91,0,0,0,0,0,0,0.14,0.14,0,0
