stage,Endothelial_cell,Enterocyte,Epithelial_cell,Goblet_cell,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,T_cell
3Month,0.1,0,0.42,0.1,0,0.21,0,0,0,0,0
22Month,0.27,0.14,0,0.14,1.09,0.27,0.14,0.14,0.14,0.14,0.14
