stage,Cardiomyocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Spermatocyte
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
72hpf,0.56,0.28,0.28,0.56,0,0,0,0,0,0,0,0.28,0.28,0,59.75,1.97,0.28,0,0,0.28,0
21Day,0.37,0.37,0.37,0,0.37,0,0,0,0.74,0.74,0,0.37,0,0,22.2,0.37,0.37,0.37,0,0,0
3Month,0,0.1,0,0,0,0.1,0.1,0,0,0.1,0.1,0.1,0,0.73,0.83,0,0,0,0.42,0,0.42
22Month,0,0.27,0,0,0,0.14,0.96,0.14,0,0,0,0.27,0,0,0.27,0,0,0,0,0,0
