stage,Enterocyte,Epithelial_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neurosecretory_cell,Pancreatic_cell,Primordial_germ_cell,Spermatocyte
21Day,0.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3Month,5.62,0.94,0.42,0.31,2.18,0.21,15.91,0.1,0.42,0.1,0.21,0.1,0,0.1,0.1,0.21,0.83,0.52,0.42,0.21
22Month,0,0.27,0,0,1.78,0,7.38,0,0,0,0.27,0,0.14,0,0,0,1.37,0,0.14,0
