stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0.28,0,0,0,0,0,0,0,0,0,0,0,0,0
3Month,0.1,0.21,1.25,0.21,0.31,0.52,1.98,0.21,0.94,0.1,0.21,0.52,0.62,0.1,0.21,0.31,0,0.1,0.1,0,0.21,43.69,0.1,0.21,23.92,0.31
22Month,0,0,0,0,0,0,0.27,0,0.27,0,0,0,0,0,0,0,0,0,0,0.14,0,11.34,0,0,0,0
