stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Granulocyte,Hatching_gland,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,46,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0.28,0,0,0,0,0.56,0.28,0.28,0,0,0.56,0,0.28,0,0,0
21Day,0,0,0,0,0,0,0,0,0,0,0,0,0.74,0,0,0.37,0,0,0,0.37,0,0.37,0,0,0,0
3Month,0,0.31,0.1,0.73,0.42,0,1.35,0.1,0,0.1,0.21,0.21,0.62,0.21,0.1,0,0,0,0.31,7.8,0,0,0,2.18,1.25,0.1
22Month,0,0.14,0,0,0.14,0,2.05,0.14,0.27,0,0.14,0.14,0.14,0,0,0.14,0,0.14,0,1.09,0,0,0,0.14,0,0
