stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Hepatocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,T_cell
24hpf,2,1,3,0,3,4,7,0,1,39,1,0,0,0,1,0
72hpf,0.28,0,0.28,0,0,0,0.28,0,1.41,0.56,0,0,0,0,0,0
21Day,0,0,0,0,0,0,0,0.37,0.37,0,0,0,0.37,0.37,0,0
3Month,0,0,0,0,0,0,0,0,0,0,0,0.42,0,0,0,0.1
22Month,0,0,0,0.55,0,0,0,0,0,0,0,0,0,0,0,0
