stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Granulocyte,Hatching_gland,Immune_progenitor_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,T_cell
24hpf,2,0,1,0,0,0,1,0,0,1,0,4,0,0,1,18,1,0,0,0
72hpf,0.28,0.28,0.85,0,0.56,0,0,0,0.28,0,0,0.85,0.28,0,16.07,4.23,2.25,0,0,0
21Day,1.11,0,1.48,0.37,1.11,0.37,0,0.37,0,0,0.37,1.85,0,0.37,8.51,4.07,1.48,1.11,0,0.37
22Month,0,0,0,0,0,0,0,0,0,0,0,0.14,0,0,0,0,0,0,0.14,0
