stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.56,0.28,0,0,0,0,0,0,0.28,0.28,0,0,0,0,0,0,0,0,0,0
21Day,1.85,0.37,0,3.7,1.48,2.96,0,1.11,0,0,0,0,0,0.74,56.61,0.37,1.85,0.37,7.03,0,0,1.11,0,4.81,1.11,0.37,0,1.11,1.85,0,0.37,1.48,0,0,0.74
3Month,0.21,0.31,0.31,6.14,0.1,0,0.42,0,5.3,1.87,0,6.14,2.29,0,197.63,0.73,1.46,1.14,2.7,0.52,0,0.31,0.31,0.31,0,0.42,0,0.1,2.39,2.08,0,0,0.73,0.62,0.83
22Month,0,0.41,0.82,2.05,0,0,0.14,0,5.47,7.38,0.14,12.3,0,0.14,218.09,0,0.27,2.05,1.78,0,0.41,0.14,0,0,0,0.27,0.27,0.14,0.14,0.55,0.55,0,0,0,0.41
