stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,2,0,0,0,0,0,0,0,0,0,1,1,0,2,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
72hpf,0.28,0,0,0.85,1.97,2.25,0,0,0,0,0,0,1.13,0,0,5.92,0,0.56,0,0,0,3.38,1.13,0,0,0,0,0,0.28,0,2.25,0,0,0
21Day,0,0,0,2.22,0.74,1.48,0,0,0,0,0.37,0,7.4,0.37,0,10.73,1.85,3.33,0,0,0,2.22,1.48,0,0,0.37,0.74,0,0.37,0,9.62,0,0,8.51
3Month,0.1,0,0.1,1.66,0.21,0,0.21,0.1,0.1,0.31,1.35,0.42,0.21,0.62,0.94,3.12,1.04,1.04,0.1,0,0,0.42,0,0.21,0.1,0,0.1,13.21,0.1,0,0.83,0,1.04,15.39
22Month,0.27,0.14,0.14,0.68,0.41,0,0,0,0,0.96,7.38,0.27,0.96,0.14,0.14,3.69,1.09,0.55,0,0.14,0.14,0.55,0.68,0.14,0,0,0,2.46,4.78,0.27,0.14,0.41,0,8.75
