stage,Epithelial_cell,Epithelial_cell__Brain_,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Spermatocyte
24hpf,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0.28,0,0,0,0,0.28,0.85,0.56,0,0,0.56,0,0,1.13,0
21Day,0,0.37,0,0,0,0,0,0,0,0.74,0,0,0,0,0,1.11,0.74,0,0,0.37,0.74,0,1.11,0
3Month,0.1,0,0.21,0.1,0,0,0.62,0,0.42,0,0,0.1,0,0,0,0,0,0,0,0,0,0.1,0,0.31
22Month,0.41,0,0.14,0.27,0.14,0,10.11,0.14,0.82,0,0.27,0,0.14,0.14,0,0.14,0,0.14,0.14,0,0.14,0.14,0,0
