stage,Epithelial_cell,Erythrocyte,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Smooth_muscle_cell,Spermatocyte
24hpf,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0.85,0,0,0,0,0,0,0,0.28,0.28,0,0,0,0,0,0.28,0.28,0,0.28,0,0
21Day,0.74,0.37,0,0,0,0,0,0.37,0,0,1.11,0,0,0,0,0,0,0,0,0,0,0
3Month,0.94,0,0,0.52,0,0.21,0.83,0,0.21,0.21,0.31,0.31,0.31,0,0.1,0.1,0,0.1,0,0,0.31,0.1
22Month,0.96,0,0.27,0.41,0.14,0.82,0.14,0,0,0,0,0.27,0.27,0.27,0,0,0.27,0,0.14,0,0,0
