stage,Endothelial_cell,Epithelial_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0.56,0.28,2.54,0,0,0.28,0,0,0,0
21Day,0,0,0,0,0,0,0,0,0,0,0.74,1.48,0,0.37,0,0.37,0,0,0
3Month,0.1,0.42,0.31,0.1,0.31,0.1,0.1,0.1,0.1,0.21,0.1,0,0,0,0,0,0.21,0.62,0.21
22Month,0,0,0,0,0.68,0,0,0,0,0,0.14,0,0,0.14,0,0,0,0,0
