stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Granulocyte,Granulosa_cell,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell
24hpf,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,41,0,0,0,0,0,0
72hpf,0.28,0.28,0.85,0.28,0.28,0,0,0,0,0,0.28,1.41,0,2.25,0,0,6.2,10.99,0.28,1.69,0,2.54,0,0
21Day,0.37,0,1.48,0,0.37,0,0,0,0,0.37,0,0,0.37,1.11,0.37,0,2.22,2.96,0,0.74,0,1.11,0.37,0.37
3Month,0,0,0.31,0,0,0.1,0,0,0.1,0.21,0.1,0.1,0.1,0.52,0,0.1,0,0.21,0,0,0.42,0,0,0
22Month,0,0.14,0,0,0,0,0.27,0.82,1.64,0.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0
