stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.28,0,0,0,0,0,0,0,0,0,0
21Day,0,0,2.22,0,0,0,0,0,0,0.37,0,0,0,0,9.99,0,0.37,0,0,0,0,0,0,0,0,0,0
3Month,0.1,0.21,13.31,0.1,0.52,0.31,3.95,0.73,1.35,0.42,0.52,0.42,0.31,0.42,106.1,0.21,0.21,0.1,0.21,0.1,1.14,0.31,0.1,0.1,0.42,0.31,0.52
22Month,0.27,0.14,4.51,0,0,0.27,3.69,0.27,0.68,0,0.14,0.41,0.14,0,41.68,0.14,0,0,0.14,0,0.27,0.27,0,0,0,0,0.14
