stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cell,Retinal_cone_cell,Spermatocyte,T_cell
24hpf,63,0,1,0,0,0,0,0,0,0,0,0,0,2,0,3,0,0,2,10,0,0,0,0,0,0,0,0
72hpf,14.94,0,0,0.28,0,0,0,0,0,0,0,0,0,0.28,0,0.85,0,0,1.41,0.85,0,0,0,0,0,0.28,0,0
21Day,14.43,0,0.74,0.74,0,0,0,0,0,0,0,0.37,0.37,0.37,0,2.22,0,0,0.74,0.74,0.37,0.37,0.74,0,0.37,0.37,0,0
3Month,1.04,0.1,4.47,0,0.1,0.31,0.31,0,2.81,0.21,0.1,0.62,0.1,0.52,0.31,0.83,0.42,0,0,0,0.1,0,0.31,2.7,0,0,0.31,0.1
22Month,0.27,0.27,0.68,0,0,0,1.23,0.27,4.51,0,0.14,0.68,0,0.68,0.27,1.91,0.14,0.14,0,0,0,0.14,0,0.41,0,0,0,0.14
