stage,Cardiomyocyte,Epithelial_cell,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0
72hpf,0.56,0,0,0,0,0.28,0,0,0,10.99,0.56,0.28,0.28,0,0,0,0,0
21Day,0.74,0,0,0,0.37,0,0,0,0.37,2.96,0,0,0.37,0.74,0.37,0,0,0
3Month,0,0.1,0,0.1,0,0.1,0.21,0.1,0.83,0,0,0.1,0,0,0,0.31,4.78,0.31
22Month,0,0,0.27,0,0,0,0,0,0,0,0.14,0,0,0,0,0,0,0
