stage,Cardiomyocyte,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
72hpf,0,0,0,0,0.28,0,0,0,0,0,0,0,1.41,0,0,0,0,0,0.28,0,0,0,0,0,0,0,0,0,0
21Day,0.74,0,3.7,0,0.74,0,0,0,0,0,0.74,0,4.07,1.11,2.22,0.37,0,0,0.74,0.74,0,0,0.74,0,0.37,0,0,0,1.48
3Month,0,0.21,12.38,0.1,0,0.21,0.31,0.62,1.04,1.04,0.42,1.04,0.31,0.62,10.19,0.42,0.21,0.21,0,0,0.1,0.1,0.31,1.04,0.21,0,0.1,0.52,1.25
22Month,0,0.68,3.28,0,0,0,0,0.41,1.78,0.14,0.27,0.55,0.55,0.14,7.24,0.14,0,0.14,0,0,0.14,0.27,0,0,0,0.14,0,0,0.41
