stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Granulocyte,Hepatocyte,Intestinal_bulb_cell,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia
24hpf,0,0,0,0,0,0,0,0,1,0,0,0,0
72hpf,9.3,0.28,0,0,0,0,0,1.69,0.56,0.56,0,0,0.28
21Day,2.59,0,0,0,0.37,0,0.37,0.74,0,0,0.37,0,0
3Month,0,0.1,0.1,0.1,0.1,0.1,0.1,0,0,0,0.1,0.21,0
22Month,0.14,0,0,0,0.82,0.14,0.14,0,0,0,0,0.27,0.14
