stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cone_cell,Smooth_muscle_cell,T_cell
24hpf,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0
72hpf,0.28,2.25,1.13,0.85,0.85,0,0,0,0,0,0,0,0.28,1.13,0,1.41,0,0,0,0,0.28,0,0,0,0,0,0,0
21Day,1.11,3.33,3.7,0.74,0,0,0,0,0,0,0,0.37,0.37,1.48,0,15.17,0,0,5.55,0.74,0.74,0,0.74,1.11,0,0.37,0.37,0
3Month,0.1,1.35,2.81,0,0,0,0.42,0.1,0,0.73,0.73,0.42,0.1,0.42,1.56,3.95,0.1,0,1.46,0,0,0,0,0.31,0.52,0,4.99,0.31
22Month,0,0.68,0.68,0,0,0.14,0.41,0.14,0.14,1.91,0,0.14,0,0.27,0.55,0.55,0,0.14,0.41,0.14,0,0.14,0.27,0,0.68,0,0.82,0.27
