stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,3,5,0,0,0,0,3,13,0,0,1,0,0,0,0,0,0,0,0
72hpf,0,0.28,0,0.85,0,0,0,0,0,0,0,0,0,0,0,0.56,1.13,0,5.07,0,0,0,0,1.97,1.13,0,0,4.51,0.28,0,0,0,0.56,0,0,0
21Day,1.48,0.74,0,15.91,1.11,0.37,0,1.85,0,0.37,0,0,0,2.22,0.37,0.37,2.96,0.74,15.17,0,0,1.11,0,2.96,3.33,0,0,2.59,0,0.37,0,0,0.37,0,0,1.85
3Month,0.42,0.83,0.1,7.8,0.1,0,0.1,0,1.04,1.14,0,1.98,0.62,0.31,1.35,0.42,2.81,1.14,7.8,1.46,0,1.77,0.21,0.31,0,0.42,0,0.1,0.42,24.44,0.21,0,0,4.58,0.62,5.93
22Month,0,1.09,0.27,3.14,0.14,0,0.14,0.41,0.68,1.5,0.41,7.38,1.09,1.09,1.64,0,0.27,2.32,4.37,0.41,0.41,0.14,0,0.41,0.14,0.41,0.14,0,0.14,3.69,0,0.14,0,0.68,0,2.32
