stage,Epithelial_cell,Erythrocyte,Goblet_cell,Hepatocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Radial_glia,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
72hpf,0,0,0,0,0,0.85,0.28,1.13,0.28,0,0,0
21Day,0.37,1.48,0,0,0.74,4.44,0.37,4.44,1.48,0,0,0
3Month,0,0,0,0.52,0,0,0,0.42,0.42,0,0.1,0
22Month,0,0,0.14,0.96,0,0.14,0,0.68,0.68,0.14,0,0.14
