stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,1,1,0,85,0,0,0,0,0,0,1,0,0,0,1,2,250,3,4,0,0,0,0,1,34,0,0,0,0,0,0,0,0,0,0
72hpf,4.51,0.85,0,67.64,0.85,3.66,0,0,0,0,0,0,0,0,0.56,11.27,665.16,0.56,3.1,0,0,0,0.28,40.02,21.14,0,10.43,0.56,0,1.97,0.56,0.28,0.56,0,0
21Day,4.44,0,0,358.89,0,8.51,1.11,0,0,0,0,1.11,0.37,2.22,0.74,6.66,285.63,0.37,9.25,0,0,1.11,0,11.47,5.55,0.37,1.85,8.88,0,0.37,1.11,2.59,0,0,1.11
3Month,0,0,0.1,1.35,0,0,0,0.1,0.62,0,0,2.18,0.1,0.21,0.83,0,3.85,0.31,0.42,0.1,0.21,0.21,0,0,0,0,0,0.21,0.62,0,0,0,0,0.1,0.1
22Month,0,0.41,0,1.78,0,0,0,0,0.27,0.96,0,11.07,0.14,0.27,0.96,0.27,0.27,0.68,0.55,0,0.27,0.14,0,0.14,0,0.14,0,0.27,0.55,0,0,0,0,0,0.14
