stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0,1,1,16,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,1.69,1.13,0,0,0,0,0,0,0,0,9.3,1.41,0.28,2.25,0,0.28,0,0,4.79,5.64,0,0,1.41,0,0,0.56,0,0,0
21Day,0.74,0.37,0,4.44,0.74,0.37,0.37,0,0,0,0,0.37,0,5.18,1.11,12.95,3.7,0,0,1.48,0,3.33,2.96,0,0,3.33,0.74,0,0,0,0,0.74
3Month,0,0.31,0.21,3.12,0,0,0.52,1.87,0,6.24,0.73,0.1,0.62,0.31,0.73,3.02,1.66,0.1,0,0,0.21,0,0,0.21,0.1,0.83,0.1,0.21,0,0.42,0.21,0.1
22Month,0,0.27,0,1.78,0,0,0.55,0.27,0.14,4.78,0.41,0,0.27,0.27,0.55,1.37,1.37,0,0.14,0.14,0,0.14,0,0,0,0,0.14,0.14,0,0,0,0.41
