stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,1.13,0,1.69,0,0.56,0,0,0,0,0,0,0,0.85,1.69,0.56,6.2,0,0.28,0.28,0,112.74,11.27,1.69,1.69,5.36,0,0,1.69,0,0,0,0,0,0
21Day,1.85,0,2.22,0.74,1.85,0,0,0,0,0.74,0,0.37,0,1.85,0.74,17.39,0,0,1.48,0,45.14,1.85,0.74,2.96,0.74,2.22,0.37,0.74,0.37,0.37,0,0,0,0
3Month,0,0.21,1.14,0.1,0,0.1,0.21,0.52,0,0.83,0.62,0.1,0.1,1.14,0.31,3.54,1.35,0,0.21,0.1,0.94,0,0.73,0.83,0,0.21,14.98,0.1,0,0,0.21,0.42,2.08,0.31
22Month,0,0.14,0.68,0,0,0,0.14,0.14,0.14,4.1,0,0.82,0,0.41,0.27,2.87,0.14,0.27,0.14,0,1.09,0,0.82,0.41,0,0,7.38,0.41,0,0,0,0,0,0.14
