stage,Cardiomyocyte,Epithelial_cell,Granulocyte,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Mesenchymal_cell,Muscle_cell,Neural_cell,Oocyte,Osteoblast,Primordial_germ_cell,Radial_glia,Spermatocyte,T_cell
24hpf,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21Day,0.37,0,0,0,1.11,0,0,0,0,0.37,0,0.37,0,0,0,1.85
3Month,0,0.21,0,0.31,0,0.1,0,0.1,0.1,0,0,0,2.6,0,0.31,0.21
22Month,0,0.14,0.14,1.78,0,0.41,0.14,0,0,0.14,0.27,0,3.28,0.14,0,0.55
