stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oocyte,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0.56,0,0,0.28,0,0,1.69,0.56,0,0,0,0,0
21Day,0.37,0,0,0.37,0.37,0.37,0,0,0,0,0,0,0.37,0,1.11,0,0,0,0.37,0,0,0.37,0,0,0
3Month,0,0.1,0.21,0.52,0,0,0.21,0.42,0,1.56,0.52,1.25,0.73,0.52,0.52,0,0.1,0.1,0,0,0,0.1,0.31,0.1,0.21
22Month,0,0,0.14,0.14,0,0,0.14,0.41,0.14,7.11,0.27,0.55,0,0.14,0.27,0.41,0,0,0,0,0.14,0,0,0,0.27
