stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,7,0,0,0,0,0,0,0,0
72hpf,0.56,0,0.85,0,0,0,0,0,0,0,0,0,0.28,0,0.28,0.85,0,0.56,0,1.13,1.13,0.28,0,0,0,0.28,0,0,0
21Day,1.11,0,2.59,0,1.11,0,1.48,0,0,0,0,0,1.48,0.37,0,0.74,0,2.22,0,0.37,1.85,0,0,0.37,0,0,0,0,0.37
3Month,0,0.1,1.87,0,0,0.21,0.21,0.21,0.31,0,3.12,0.1,0.21,0.31,0,0.52,0.21,0.42,0.1,0,0,0,0,0.42,1.66,0,0.1,0.21,0.31
22Month,0,0.27,0,0,0,0,0,0.14,0.27,0.27,12.44,0,0.68,0.55,0,0,0.27,0.41,0,0,0,0,0.27,0,0.68,0,0,0,0.14
