stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,1,1,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,1,17,0,0,0,0,0,0,0,1,0,0,0
72hpf,2.25,0,2.25,1.97,0.28,0,0.28,0,0,0,0,0,0,0.28,4.51,0,0.85,0,0,0.28,0.28,136.7,7.05,0.28,0.56,1.97,0,0,1.69,0,0,0,0,0
21Day,4.07,0,38.85,4.44,2.96,0,1.11,0,0.37,0,0,0.37,0.37,0.74,12.58,1.11,10.36,0,0,4.44,0,92.5,1.85,0,1.85,2.59,2.22,0,3.7,1.85,1.85,0,0,0
3Month,0,0,9.67,0.52,0,0.1,0,0,0.62,0.21,0.31,0,0.21,0.21,2.29,0,7.91,1.66,0,0.83,0.42,2.29,0,0.31,0,0.21,0,0.42,0.21,0,0.1,1.46,0.1,0.21
22Month,0.14,0.82,2.05,0,0,0.27,0,0.14,0.55,3.69,0.14,0.14,0.68,0,0.96,0.14,15.71,0.68,0.27,0.41,0,3.14,0,0.55,0,0.27,0,0.14,0.55,0,0,0.41,0,0
