stage,Enterocyte,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Spermatocyte
24hpf,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,2,0,0,0,0
72hpf,0,0.85,0,0,0,0,0,0,0,0,0.56,8.74,0,0.28,0,0,0,0.28,0,0,0,0,0
21Day,0,7.03,0.37,0.37,0,0,0,0,0,0,1.11,2.22,0,0,0,0,0,0,0,0,0,0,0
3Month,0,10.4,0,0,0,0.21,0.73,0.1,0.1,0.31,1.98,0.31,0.31,0.1,0,0.1,0.52,0,0.1,0.1,0.42,0,0.1
22Month,0.14,0.82,0,0,0.27,0,0.68,0,0,0,0,0,0,0,0.14,0,0,0,0,0,0.14,0.14,0
