stage,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Goblet_cell,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Primordial_germ_cell,Radial_glia,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,2,0,8,0,0,0,0,0
72hpf,0,0,0.85,0,0,0,0,0,0.56,1.41,0,0,1.41,0.56,0.28,0,0,0.56,0
21Day,0,1.85,0,0.74,0,0,0.37,0.37,0,0.37,0,0,0.37,0.37,0,1.48,0,0,0
3Month,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0
22Month,0.27,0.14,0,0,0.14,1.09,0,0.41,0,0.14,0.27,0.41,0,0,0,0,0.41,0.14,0.27
