stage,Endothelial_cell,Epithelial_cell,Hepatocyte,Intestinal_bulb_cell,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell
72hpf,0,0,0,0,0,0.28,0,1.69
21Day,0.37,0,0,0,0,0.37,0,0
3Month,0,0.1,0.1,0.1,0.21,0,0.1,0
22Month,0,0,0.41,0,0,0,0,0
