stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,5,0,0,0,0,2,45,0,0,0,2,0,0,0,0,0,0,0,0
72hpf,1.41,1.13,0,1.69,0.28,0.28,0,0.28,0,0,0,0,0,0,0,0,0.28,1.13,0.28,4.23,0,0.56,0,0,31.57,20.57,0,0.56,0,3.95,0,0,1.41,0.56,0.28,0,0,0
21Day,3.7,0.74,0,4.81,0,2.96,0,3.33,0,0,0,0,0.74,0,1.48,0.37,0,1.11,0.74,5.92,0,0,0,0,8.14,8.14,0.37,0,0,0.74,1.48,0,1.11,0.37,0,0,0,0.74
3Month,0.31,1.87,0.31,16.54,0.21,0,0.21,0.42,1.14,4.37,0,0,18.83,2.81,0.62,8.74,2.6,6.03,5.93,5.3,0.94,0,1.04,1.77,0.73,0.42,1.66,0.31,0,0.42,1.56,29.23,0.21,0,0.1,1.87,14.77,4.58
22Month,0,2.19,0.14,4.51,0,0,0.41,0,0.82,2.73,1.23,0,42.36,2.05,1.64,9.02,0.55,0.82,2.32,5.33,0,0.96,1.09,0.14,0.14,0.27,0.96,0.82,0.27,0.14,0.27,4.92,0.41,0,0,0.27,0,1.91
