stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,10,0,0,0,0,0,0,0,0,0
72hpf,0.28,0,1.13,1.41,0.85,0.56,0,0,0,0,0,0,0,0,1.69,0,3.66,0,0,0.28,29.59,3.66,0,3.95,0,0,1.41,0,0.28,0,0
21Day,0.37,0,1.85,1.48,0.37,2.96,0,1.85,0,0,0,2.22,0,0,0,0.37,14.8,0.37,0,2.22,15.54,0.37,0.37,4.07,0.37,0,1.11,0.37,0,0,0
3Month,0,0.21,2.29,0.21,0,1.14,0.1,1.66,0,1.25,0.52,0.52,0.62,0.1,1.04,0.62,2.08,0.52,0,1.14,0,0,0.1,0,0.1,0.21,0,0,0,0.42,0.31
22Month,0,0.27,0.41,0.14,0,1.09,0.27,0.82,0.41,4.1,0.55,0.27,0.41,0,0.41,0.41,1.78,0.14,0.14,0.82,0.27,0,0.41,0,0,0.14,0.41,0,0,0,0.41
