stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,1.13,0,0,1.41,0.28,0,0,0,0,0,0,0,0,0,1.69,0.28,1.41,0,0.28,0,0,3.95,3.66,0,0.56,0,1.13,0,0,0,0.56,0,0,0,0,0
21Day,0.74,0,0.37,3.33,0,0.37,0,0,0,0.37,0,0.74,0,0.37,2.22,1.11,3.33,0,0,0,0,1.48,0.74,0,0,0,0.74,1.11,0,0,0,0,0.37,0,0,0.37
3Month,0,0.73,0,6.45,0,0,0.62,3.12,0,6.55,2.39,0.42,3.43,0.73,3.43,2.7,1.77,0.1,0.21,0.31,0.21,0.1,0.1,0.21,0,0,0.31,0.31,0.21,2.29,0.1,0,0,0.94,0.52,1.04
22Month,0,0.41,0.27,1.91,0,0.14,0.55,3.28,0.27,15.3,2.32,0.82,2.19,0,0.41,3.14,1.5,0,0.27,0.41,0,0,0,0.27,0,0.27,0,0,0,0.68,0,0.14,0,0,0,0.68
