stage,Cardiomyocyte,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0.28,7.89,0,0,0,0,0,0,0,0,1.69,2.25,0,0,0,0,0,6.2,3.38,0,0.56,0,0,0,0,0.56,0,0,0,0
21Day,0,0,0.74,3.33,0,0,0,0,0,0,0.37,0,2.96,1.48,0,0,0,0.37,0.37,1.11,0.37,0,0.37,0,0,0.37,0,0,0,0,0,0
3Month,0.1,0.1,4.58,1.87,0.1,0.62,0.31,0,2.91,0.62,0.1,6.24,1.77,0.83,0.62,0.42,0.21,0,0,34.53,0.21,0,0.31,0.1,0,0,0.1,7.7,0.21,0.1,0.73,0.83
22Month,0.14,0.27,0.41,0.68,0,0,0.27,0.27,3.14,0.14,0,1.64,0,0,0.27,0,0,0.14,0.14,3.01,0,0.14,0.41,0,5.19,0,0.14,13.8,0.41,0,0,0
