stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,T_cell
24hpf,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,0,0,4,22,0,0,0,0,0,0,0,0,0,1,0,0
72hpf,1.41,0.56,0.56,0,0.85,0,0,0,0,0,0,0,0,0,1.69,2.82,0.28,2.25,0,0,11.84,8.17,0,0,0,3.1,0,0.28,0.85,0.28,0,0.28,0,0
21Day,1.85,0,3.7,0.37,1.11,0,1.11,0,0,0,0,0,0,0.37,0,2.22,0.74,3.33,0,1.11,6.29,4.07,0,0.74,0,0.74,1.11,0,0,0,0.37,0.37,0,0.74
3Month,0,0,0.1,0,0,0,0,0,0.1,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0
22Month,0,0.68,2.6,0,0,0.41,0.14,0.27,1.91,0.82,16.94,1.23,1.5,0.82,0,0.27,3.42,1.91,0.55,0.55,0,0,0.27,0.41,0.14,0,0.14,0,0.41,0.14,0,0,0.27,1.78
