stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0.85,0,0,0,0,0,0,0,0,0,0.28,0,0,0,0,0,0,0,0,0,1.69,1.13,0.28,0,0.28,0,0,0,0,0,0,0,0
21Day,0,0.37,0,0.37,0,0,0,0,0,0,0,0,0,0,0,0.37,0.74,0,0,0,0,2.22,0.37,0,0,0,0,0,0.74,0.37,0,0,0,0
3Month,0.21,1.56,0.21,3.54,0.1,0.1,1.56,0.31,0,14.46,0.73,0.42,4.06,0.83,1.66,0.52,1.46,0.31,0,0.73,0.73,0.42,0,1.04,0.21,0.1,0.21,7.91,0.31,0,0.1,1.35,9.47,1.35
22Month,0,0.68,0,1.64,0.14,0,0.14,0,0.27,16.4,0.14,0.68,1.64,0,0.14,1.78,0.82,0,0.27,0.41,0,0.41,0,0.27,0.14,0,0,0.68,0.27,0.14,0,0,0,0.14
