stage,Cardiomyocyte,Epithelial_cell,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,T_cell
24hpf,0,1,0,0,0,0,0,0,0,0,9,1,0,0,2,0,0,0,1,0,0
72hpf,0,0.85,0,0,0,0,0,0,0,0,11.56,0,0.28,0.56,0.56,0,0,0,0,0,0
21Day,0,11.1,0,0,0,0,0,0.37,0,0,4.44,0.37,0.74,0.37,1.48,0,0.74,0.37,0.37,0,0
3Month,0,8.43,0.1,0.1,0.31,0.52,0.1,0.21,0.1,0.42,1.35,0,0,0,0,0.21,0,0,0,0.1,0.1
22Month,0.14,0.68,0,0,0.14,0.41,0,0,0,0.14,0,0,0,0,0,0,0,0,0,0,0
