stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,T_cell
24hpf,7,3,0,20,0,55,0,9,0,0,0,3,0,0,0,1,2,10,22,26,0,1,0,0,7,180,1,0,8,0,0,0,0,0,0,0,0
72hpf,30.44,4.51,0.28,47.91,5.92,1855.69,0,9.02,0,0.85,0,0,0.56,0,1.13,0.85,25.37,76.94,10.43,83.71,0,4.51,2.54,0.56,436.3,213.92,1.69,4.23,94.14,1.69,0.28,37.77,2.82,2.25,5.07,0,0
21Day,48.47,4.81,4.81,108.04,4.07,3370.21,0,334.47,3.33,4.44,0.74,0,27.38,7.4,27.38,18.87,8.14,76.96,35.52,136.16,0.37,0.74,22.2,0.37,150.95,68.08,2.22,5.18,51.8,97.68,0.74,13.32,8.88,41.81,5.92,0.37,20.72
3Month,0,0,0,0.1,0,0,0.31,0.1,0,0.1,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.42,0,0,0,0,0,0
22Month,0,0,0,0,0,0,0,0,0,0,0,0,0.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
