stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,1.41,0.28,0,8.74,0.56,0,0,0,0.28,0,0,0,0,0,1.41,18.88,0,14.09,0,0,0,68.77,64.54,0,0,11.84,0,0,4.79,0,0,1.13,0,0,0
21Day,0.37,0.37,0,15.54,1.11,0,0,0,0,0,0,0,0.37,0.37,1.11,11.1,0.37,9.99,0,0,1.11,20.72,23.68,0.74,0,2.96,3.7,0,0.74,0.37,0.37,0,0,0,1.11
3Month,0.1,0,0.21,1.04,0,0.1,0.1,0.31,0.21,0,1.66,0.42,0,2.18,0.1,0.73,0.21,0.21,0.1,0,0.1,0.1,0,0,0.1,0,0.21,0.73,0.21,0,0,0,0.1,0.62,0.21
22Month,0,0.41,0.14,0.96,0,0,0,0,0.82,1.91,6.7,0.68,0.14,2.46,0,0.41,0.55,0.82,0,0.14,0,0.14,0,0,0,0.14,0,0,0,0,0,0,0,0,0.14
