stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Nephron_cell,Neural_cell,Neurosecretory_cell,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
21Day,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.11,0,0,0,0.37
3Month,0.21,0.1,0.62,0.1,0.31,0.1,0.1,1.87,0.62,0.21,0.62,0.21,0.52,0.21,0.42,0,0.31,0.21,0.1,0,0,0.31,59.39,0.1,0.1,21.64,1.14
22Month,0,0,0.14,0,0.27,0.14,0.14,0.41,0,0,0.27,0,0,0,0.14,0.14,0,0.14,0,6.83,0.14,0,13.53,0.14,0,0.14,0.14
