stage,Epithelial_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Mesenchymal_cell,Nephron_cell,Neurosecretory_cell,T_cell
72hpf,0,0,0,0,0.28,0,0.28,0
3Month,0.42,0,0,0,0.1,0.31,0,0.1
22Month,0,0.68,0.14,0.27,0.14,0,0,0
