stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
72hpf,0,0,0,0,0.28,0,0,0,0,0,0,0,0,0.56,0,0,0,0,0.56,0,0.28,0,0,0,0,0,0,0,0,0,0,0,0,0
21Day,0.37,0,0.74,0.74,0,0,0,0,0,1.85,0,0,0.74,0,0,0,0,0,0,0,0,0.37,0.37,0,0,0,0,0,0,0,0.37,0,0,0.37
3Month,0,0.1,7.18,2.18,0,0.42,2.81,0.52,0,60.95,0.83,0.1,26.73,0.31,0.21,0.83,0.83,0.21,0,0.21,3.95,0.1,0,0.52,0.1,0,0.1,0.21,1.14,0,0,0.21,7.18,8.32
22Month,0.41,0,4.65,2.46,0,0.55,7.52,1.5,0.41,298.58,0.55,0.14,43.45,0,0.27,1.37,1.91,0,6.42,0.14,0.14,0,0,0.41,0.41,0.14,0,0.27,2.19,0.14,0,0,0.27,1.5
