stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,1,1,0,2,1,0,0,0,0,0,0,0,0,0,1,0,1,13,0,0,0,1,94,0,0,1,0,0,0,0,0,1,0,0,0
72hpf,3.66,0.56,0,0.85,0.28,1.13,0,0,0,0,0,0,0.28,0,0,2.82,0.28,4.51,0,0,0.56,88.78,15.22,0.56,0,4.79,0,0,1.13,0.28,0.28,0.56,0,0,0
21Day,6.29,0,0.37,17.76,0,1.48,0,0,0,0,0,0,0.74,0.74,0,1.11,0.37,4.81,0,0,0,44.77,1.85,0.37,0.37,1.48,3.33,1.11,0.37,0.37,1.11,0.37,0,0,0.74
3Month,0,0.21,0,10.19,0,0,0.21,0.42,0.62,0.1,2.39,1.35,0,1.56,0.62,0.31,0.62,0.73,0.31,0,0.21,75.62,0.1,0.21,0.1,0,0.31,2.08,0,0,0,0,0.1,16.02,0.83
22Month,0.27,4.78,0,16.81,0.14,0,0,2.19,3.55,3.14,17.35,2.05,0.55,2.87,0.55,1.37,6.7,6.15,0.14,1.37,1.09,51.38,0.14,2.6,0.14,0.27,0.27,5.19,1.09,1.09,0,0.27,0.14,0.14,9.43
