stage,Cardiomyocyte,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,3,0,0,0,0,0,0,0,0,0
72hpf,0.28,0,0,0,0,0,0,0,0,0,0,0,0.56,0.28,0.85,0,5.92,0.28,0,0.28,0,0,0,0,0,0,0
21Day,0,0.37,1.11,0.37,0.37,0,0,0,0,0,0.74,0.74,1.85,1.48,1.48,0.74,3.33,0,0,0,0.37,0,0,0,0,0,0.37
3Month,0,0,4.16,0.1,0,0.1,3.33,0.21,1.14,0.21,0.31,2.6,1.35,1.77,0.42,0.21,0.62,0.1,0.52,0.1,0,0.52,0,0,0.21,0.21,2.91
22Month,0,0.14,0.82,0,0,0,0.96,0.41,0.82,0,0.27,2.32,0,0.82,0.14,0.14,0,0,0,0,0,0.27,0.14,0.14,0.14,0,0.55
