stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,4,2,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,3,0,0,0,0,0,45,0,0,2,0,0,0,0,0,1,0,0,0
72hpf,1.97,1.69,3.38,0.28,2.82,0,0,0,0,0,0,0,0,0.85,0,1.69,4.79,0.28,11.27,0,0.56,0,0,63.13,33.54,0.28,0,7.89,0,0,3.66,0,0,1.69,0,0,0
21Day,0.74,0.74,3.7,0,3.33,0,1.48,0,0.37,0,0,0.37,0.74,2.22,0.37,0.74,2.22,0.74,4.81,0,0,0.37,0,10.36,8.51,0,0.37,2.96,1.48,0,0.74,1.11,0.37,0.37,0,0,0.74
3Month,0,0.31,2.81,0,0,0,0.1,0.21,0.21,0,0,1.46,0,0,0.62,0,1.35,0.83,1.04,0.52,0,0.1,0.1,0.42,0.21,0.1,0,0,0.42,3.02,0,0,0,0,0.21,2.18,0.21
22Month,0,0.27,0.68,0,0,0.14,0,0,0.55,0.41,0,4.51,0,0.41,0.96,0,0.14,0.82,1.37,0,0.41,0,0.14,0.14,0.14,0.41,0.14,0.14,0,0.27,0.55,0,0,0,0.27,0,0.27
