stage,Epithelial_cell,Goblet_cell,Hepatocyte,Intestinal_bulb_cell,Mesenchymal_cell,Primordial_germ_cell,Spermatocyte
24hpf,0,0,0,0,1,0,0
3Month,0.1,0,0.31,0.21,0,0.31,0.1
22Month,0,0.27,1.78,0.41,0,0,0
