stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Spermatocyte,T_cell
72hpf,0,0,0.28,0.28,0,0,0,0,0,0,0,14.09,0.28,0,0,0,0.28,0,0,0,0,0,0,0,0,0
21Day,0,0,0.37,2.22,0,0,0,0.37,0,0,0.37,35.15,0.74,0,0,0,0,0.37,0,0.37,0,0,0,0.74,0,0
3Month,0,0.1,0.31,3.12,0,1.14,0.52,0,0.21,0,0.21,14.67,0.1,0.1,0,0.1,0,0,0.1,0.21,0.21,0,0.1,0,0.1,0.21
22Month,0.41,0,0.14,5.88,0.14,3.55,0.27,0,0.55,0.27,0,22,0.14,0.14,0.14,0.14,0,0,0,0,0.27,0.14,0,0,0,0.14
