stage,Cardiomyocyte,Hepatocyte,Intestinal_bulb_cell,Macrophage,Mt_rich_cell,Neural_cell,Neural_progenitor_cell
72hpf,0.28,0,0,0,0,3.38,0.28
21Day,0.37,0,0,0,0,1.11,0
22Month,0,0.41,0.27,0.14,0.27,0,0
