stage,Endothelial_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Neural_cell,Neurosecretory_cell,Retinal_pigment_epithelial_cell,T_cell
21Day,0,0,0,0,0,0,0.37,0
3Month,0.1,0.1,0,0.1,0.1,0.1,0,0.1
22Month,0,1.23,0.14,0,0.14,0,0,0
