stage,Endothelial_cell,Epithelial_cell,Erythrocyte__Liver_,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Nephron_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
21Day,0,0.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3Month,0.1,0.21,0.1,0,0.73,0.42,0.1,0.31,0.1,0.1,0.31,0.31,0,0.1,0,0.1,0.1,10.51,0,0.21,4.26,0.31
22Month,0.14,0.14,0,0.27,0.82,0,0.14,0,0,0.14,0,0,0.14,0,0.14,0,0,1.37,0.14,0,0,0
