stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,T_cell
24hpf,0,6,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,1,28,0,0,0,0,0,0,0,0
72hpf,1.13,0.85,1.41,0.28,0,0,0,0,0,0,0.28,0,0,8.74,0,0.28,0.28,14.66,8.17,0,10.43,0,3.38,0.28,0.28,0.28,0
21Day,1.11,1.11,1.11,0,0,0,0,0,1.11,0,0,0,0,8.88,0,0,1.85,8.14,2.59,0.37,5.18,0,0.37,2.22,1.11,0.37,0.74
3Month,0,0.31,0.31,0,0.1,0,0.21,0,0,0,0,0.52,0,0.21,0,0,0.1,0,0,0,0,0.21,0,0,0,0,0
22Month,0,0.68,0.14,0,0.55,0.14,1.37,0.14,0,0.41,0,0.14,0.14,0.82,0.14,0,0,0,0,0.14,0.14,0,0.14,0.14,0,0,0.27
