stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0.85,0.28,0,1.41,1.97,0,0,0,0.85,0,0,0.28,0,0,0,0
21Day,0,0.74,0,0.37,0,0,0,0,0,0,0,0,0,1.85,0,0,0.74,0.37,0,0,0,1.48,0,0,0,0.37,0,0,0
3Month,0,2.91,0.1,2.6,0.1,0.1,0.1,0,0.94,0.1,0.52,0.52,0.42,1.14,0.1,0.21,0,0,0.1,0.1,0,0,0.21,1.25,0,0,1.04,0.21,0.1
22Month,0,1.64,0,0.55,0,0,0.14,0.27,1.78,0,0.27,0.27,0,1.23,0.14,0,0.14,0,0,0,0.14,0,0,0,0,0,0,0,0
