stage,Cardiomyocyte,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Pancreatic_cell,Radial_glia
24hpf,0,0,0,0,0,0,0,0,0,0,1,2,0,0
72hpf,0,0,0,0,0,0,0,0.28,0,0.28,7.05,1.13,0,0
21Day,0.74,0.37,1.11,0.37,0,0.37,0.37,0.37,0,0.37,11.84,0.37,0.37,0.37
3Month,0,0,0,0,0.21,0,0,0,0.1,0,0,0,0,0
