stage,Cardiomyocyte,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Primordial_germ_cell,Spermatocyte,T_cell
24hpf,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
72hpf,0.28,0,0,0,0,0,0,0,0,0,0.56,0,0.28,0,1.13,0.56,0.28,0,0,0,0
21Day,0,0,0.74,0,0.37,0,0,0.37,0,0.74,0,0,0.37,0,1.48,0,0,0.37,0.37,0,0
3Month,0,0.21,0.94,0.1,0.21,1.25,0.52,0,0.21,0,0.21,0,0.1,0.1,0,0,0,0,0.83,1.04,0.1
22Month,0,0,0,0,0.14,0.27,0.14,0,0.14,0,0.14,0.14,0.27,0,0,0,0,0,0.14,0,0.14
