stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Pancreatic_cell,Primordial_germ_cell,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
21Day,0.74,0,0,0,0.74,0,0,0,0.37,0,0.74,0,0,0,0,0.37,0,0,0,0,0,0,0,0,0,0.37,0,0,4.81
3Month,0.1,0.52,0.1,2.7,0,0.21,0.31,1.14,2.6,1.25,0.1,0.73,0.21,0.94,0.94,1.04,0.1,0.21,0.1,0.1,0.1,0.31,0.1,0.31,7.91,0,0.31,10.92,51.18
22Month,0,0.14,0,0.27,0,0.14,0.14,1.09,4.1,0.14,0.27,0.68,0,0.14,0.41,0.14,0.55,0,0,0,0,0.14,0.27,0.14,3.28,0,0,0.14,6.42
