stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,1,4,0,0,0,0,0,0,0,0
72hpf,0,0.28,0.85,0.28,0.28,0,0,0,0,0,0,0,0,0,0,0,0.56,0,6.2,0,0.56,0,1.69,0.85,0,7.89,0,0,0.56,0,0,0
21Day,0,0,1.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0.37,0,10.73,0,0.37,0,1.11,0.74,0,4.81,0.37,0,0,0,0,0
3Month,0,2.08,1.25,0,0,0.1,0.1,0.83,0.1,0.62,0.1,1.56,0.62,0.1,0.31,0.21,0.73,0.31,28.81,4.99,0.94,0.52,0.73,0,0.73,0,0.42,0.52,0.1,5.51,0.52,0.42
22Month,0,0.55,0.27,0,0,0.14,0,0.14,0.27,0,0.55,1.64,0.14,0,0.14,0.14,0,0.27,7.79,0.27,0.55,0,0,0,0,0.14,0,0,0,0.41,0,0
