stage,Epithelial_cell,Hepatocyte,Intestinal_bulb_cell,Keratinocyte,Macrophage,Neural_cell,Neural_progenitor_cell,Spermatocyte
24hpf,0,0,0,0,1,0,1,0
72hpf,0,0,0,0.56,0,0.56,0,0
21Day,0,0,0,0,0,0,0.37,0
3Month,0.31,0.21,0.21,0,0,0,0,1.04
