stage,Epithelial_cell,Erythrocyte,Hepatocyte,Keratinocyte,Mesenchymal_cell,Nephron_cell,Neural_progenitor_cell,Primordial_germ_cell,Retinal_cone_cell
24hpf,0,0,0,0,0,4,2,0,0
72hpf,0,0,0,0,0,2.25,0,0,0
21Day,0,0.37,0,0,0.37,1.11,0,0,0.37
3Month,0,0,0,0.1,0,1.14,0,0.21,0
22Month,0.14,0,0.55,0,0,0,0,0.55,0
