stage,Cardiomyocyte,Epithelial_cell,Hepatocyte,Intestinal_bulb_cell,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell
24hpf,1,0,0,0,0,0,1
72hpf,0,0,0,0,0.28,3.38,0.28
21Day,3.7,0.37,0,0,0,1.48,0
3Month,0,0,0.42,0.1,0,0,0
