stage,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Granulocyte,Hepatocyte,Intestinal_bulb_cell,Macrophage,Neural_cell
21Day,0.37,0.37,0,0,0,0,0,0
3Month,0.21,0,0,0,0,0,0,0
22Month,0,0,0.14,0.14,3.96,0.14,0.14,0.14
